srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate
2983420,AD,3,560011,233,245,131,B,ADLD,570016,2017-12-20,2017-07-09,2018-03-15,4468,2018-03-18
2973415,AN,21,110015,233,233,131,C,ADLD,143001,2017-07-20,2017-07-07,2018-03-13,4580,2018-03-17
2941814,C,10,226010,233,233,131,B,ADLD,243001,2018-02-06,2017-05-25,2018-03-05,4547,2018-03-09
3048230,AN,21,110015,308,233,131,A,ADLD,110030,2016-08-25,2016-08-23,2018-04-02,4580,2018-04-06
2940204,AD,8,700064,233,233,131,A,ADLD,711101,2017-04-25,2018-04-05,2018-03-05,4499,2018-03-09
2822818,AN,8,700064,233,233,131,A,ADLD,700001,2016-08-01,2016-05-11,2018-01-31,4508,2018-02-02
2838596,AN,21,110015,233,233,131,A,ADLD,201301,2017-07-07,2017-06-29,2018-02-04,4580,2018-02-13
2848163,AJ,12,302006,233,233,131,A,ADLD,302012,2017-07-13,2017-05-02,2018-02-07,4407,2018-02-19
2879698,C,6,160059,233,233,228,B,ADLD,160030,2017-12-06,2016-11-25,2018-02-17,4549,2018-02-19
2931443,G,1,400059,233,233,131,A,ADLD,110039,2017-07-26,2017-07-24,2018-03-03,4011,2018-03-07
2978646,C,4,600024,233,233,131,B,ADLD,620001,2017-11-04,2017-11-03,2018-03-14,4492,2018-03-20
2977403,A,2,110018,308,233,131,A,ADLD,110051,2017-04-28,2017-03-06,2018-03-13,4091,2018-03-20
3017262,C,12,302006,233,233,131,A,ADLD,302022,2017-12-17,2017-12-15,2018-03-25,4453,2018-03-27
3042076,AN,22,400104,233,233,131,A,ADLD,380006,2017-06-12,2017-06-10,2018-03-31,4581,2018-04-04
3008475,C,2,110018,233,233,131,B,ADLD,131001,2018-02-05,2017-12-21,2018-03-22,4550,2018-04-04
3050330,AJ,27,110034,233,233,228,A,ADLD,110029,2018-03-09,2018-03-02,2018-04-03,4388,2018-04-10
3038213,AJ,27,110034,233,245,131,A,ADLD,110025,2017-12-13,2017-12-13,2018-03-30,4388,2018-04-09
2920840,Y,1,400059,233,233,131,A,ADLD,400051,2017-12-14,2017-12-13,2018-02-27,4581,2018-03-07
2969023,AA,24,110092,233,233,131,A,ADLD,110072,2018-01-27,2018-01-07,2018-03-10,4150,2018-03-13
2961591,AM,2,110018,233,233,131,A,ADLD,110067,2017-05-08,2017-05-07,2018-03-09,4092,2018-03-14
3059009,AN,6,160059,233,233,131,B,ADLD,160019,2017-10-06,2017-10-01,2018-04-05,4441,2018-04-11
2883293,AN,4,600024,233,233,131,B,ADLD,607402,2017-11-18,2017-11-16,2018-02-18,4490,2018-02-21
2934920,AN,7,500004,233,233,131,B,ADLD,530017,2017-10-20,2017-10-18,2018-03-03,4403,2018-03-07
2990164,AN,22,400104,308,233,131,A,ADLD,400083,2017-07-24,2016-10-01,2018-03-17,4581,2018-03-21
2990164,AN,22,400104,308,233,131,A,ADLD,400083,2017-07-24,2017-07-20,2018-03-17,4581,2018-03-21
3031453,AJ,27,110034,233,233,131,B,ADLD,131021,2017-12-26,2017-12-19,2018-03-28,4388,2018-03-31
3030208,AJ,25,560037,201,233,131,0,ADLD,683543,2017-06-05,2017-05-10,2018-03-28,4460,2018-04-09
2924766,AJ,2,110018,233,233,228,A,ADLD,110075,2017-12-29,2017-07-21,2018-02-28,4388,2018-03-04
2930751,AN,22,400104,233,233,131,A,ADLD,400098,2017-12-26,2017-12-16,2018-03-02,4581,2018-03-06
3012230,AJ,8,700064,233,233,131,A,ADLD,700072,2017-08-26,2017-04-01,2018-03-23,4499,2018-03-26
3003946,AJ,6,160059,233,233,228,C,ADLD,141002,2018-02-17,2018-02-13,2018-03-21,4437,2018-03-29
2962440,AE,1,400059,233,245,131,B,ADLD,394210,2018-01-31,2017-05-25,2018-03-10,4015,2018-03-19
2943050,AD,4,600024,233,233,228,A,ADLD,600118,2017-10-27,2016-06-25,2018-03-05,4488,2018-03-09
2994280,Y,26,560066,308,233,131,A,ADLD,560037,2017-06-02,2017-05-30,2018-03-18,5001,2018-03-20
3025655,AN,22,400104,233,233,131,B,ADLD,384002,2017-06-28,2017-06-24,2018-03-27,4581,2018-03-31
2856203,C,6,160059,233,233,228,B,ADLD,160103,2018-01-18,2018-01-03,2018-02-09,4549,2018-02-12
2898673,AN,2,110018,233,233,131,A,ADLD,110085,2017-06-30,2017-06-28,2018-02-22,4147,2018-02-26
2906662,AJ,2,110018,308,233,131,A,ADLD,122001,2017-07-29,2017-07-18,2018-02-25,4388,2018-03-05
2939509,AN,7,500004,233,233,131,A,ADLD,500084,2017-05-22,2017-05-19,2018-03-05,4403,2018-03-09
3009705,AN,21,110015,233,233,228,B,ADLD,180012,2018-02-15,2018-01-09,2018-03-23,4580,2018-03-26
2860907,AN,21,110015,233,233,131,A,ADLD,110034,2017-07-06,2017-07-05,2018-02-11,4580,2018-02-13
2865502,J,21,110015,233,233,131,0,ADLD,0,2017-06-17,2017-06-13,2018-02-13,4580,2018-02-15
2865502,J,21,110015,233,233,131,A,ADLD,110025,2017-06-17,2017-06-13,2018-02-13,4580,2018-02-15
2865502,AN,21,110015,233,233,131,A,ADLD,110025,2017-06-17,2017-05-05,2018-02-13,4580,2018-02-15
2865502,AN,21,110015,233,233,131,0,ADLD,0,2017-06-17,2017-05-05,2018-02-13,4580,2018-02-15
2884038,AJ,12,302006,233,233,228,A,ADLD,302001,2017-09-29,2017-03-08,2018-02-18,4453,2018-02-21
2926865,C,3,560011,233,233,228,A,ADLD,560097,2017-12-15,2017-03-29,2018-03-01,4469,2018-03-06
3024359,AJ,27,110034,308,233,228,A,ADLD,110051,2018-02-17,2016-12-16,2018-03-27,4388,2018-04-03
3044401,C,2,110018,233,233,131,B,ADLD,124001,2018-02-28,2017-10-03,2018-04-01,4550,2018-04-03
3000644,AN,21,110015,233,233,131,B,ADLD,131028,2017-11-10,2018-04-11,2018-03-20,4580,2018-04-01
3065947,AN,22,400104,233,233,131,B,ADLD,431601,2017-07-24,2017-07-20,2018-04-08,4581,2018-04-10
2827514,AN,21,110015,233,245,131,A,ADLD,110070,2017-05-16,2017-05-13,2018-02-01,4580,2018-02-05
2991249,AA,24,110092,233,245,131,A,ADLD,110086,2017-04-22,2017-04-20,2018-03-17,4150,2018-03-24
2869637,AN,21,110015,233,233,131,B,ADLD,248007,2017-12-28,2017-06-22,2018-02-14,4580,2018-02-17
2840650,C,1,400059,0,0,131,A,ADLD,400053,2017-11-22,2017-11-20,2018-02-05,4545,2018-02-08
2883620,C,11,641012,233,233,228,A,ADLD,641035,2018-02-02,2017-04-15,2018-02-18,4492,2018-02-21
3063850,AN,7,500004,233,233,131,A,ADLD,500079,2017-05-19,2017-05-17,2018-04-07,4403,2018-04-18
2886273,AN,17,800001,233,233,131,A,ADLD,800013,2017-07-29,2017-07-27,2018-02-19,4538,2018-02-21
3019633,AJ,25,560037,233,233,131,A,ADLD,560068,2018-02-22,2017-10-29,2018-03-26,4460,2018-03-31
3054023,C,5,380009,233,233,228,A,ADLD,380055,2018-03-01,2018-02-26,2018-04-04,4546,2018-04-10
2883881,C,6,160059,233,233,131,C,ADLD,143001,2018-01-19,2017-02-12,2018-02-18,4549,2018-02-21
2945175,AN,21,110015,233,233,131,B,ADLD,132103,2017-11-11,2017-11-08,2018-03-06,4580,2018-03-12
2921054,AN,21,110015,233,233,131,B,ADLD,342001,2017-07-31,2017-07-29,2018-02-27,4580,2018-03-03
2830791,AN,7,500004,233,233,131,C,ADLD,507115,2017-10-06,2017-09-30,2018-02-02,4403,2018-02-10
2951098,Y,12,302006,233,233,131,B,ADLD,313001,2018-02-27,2018-02-25,2018-03-07,4668,2018-03-15
3025629,AN,7,500004,233,233,131,A,ADLD,500016,2018-01-02,2018-01-01,2018-03-27,4403,2018-04-04
3058004,AN,21,110015,308,233,131,A,ADLD,122018,2017-10-16,2017-10-13,2018-04-05,4580,2018-04-12
2894422,AN,3,560011,233,245,131,A,ADLD,560037,2017-02-27,2017-02-08,2018-02-21,4467,2018-02-24
2901320,C,3,560011,233,245,131,A,ADLD,560008,2017-04-09,2017-04-06,2018-02-23,4461,2018-02-26
2843754,AF,1,400059,233,233,131,A,ADLD,400004,2017-02-18,2017-02-15,2018-02-06,4019,2018-02-10
2843203,AJ,1,400059,233,233,228,A,ADLD,400612,2017-06-21,2016-09-12,2018-02-06,4398,2018-02-12
2859463,AM,2,110018,233,233,131,A,ADLD,121003,2017-02-24,2017-02-08,2018-02-10,4092,2018-02-15
2886084,AE,1,400059,233,233,131,A,ADLD,401303,2017-02-25,2017-02-25,2018-02-19,4015,2018-02-23
2866387,AN,21,110015,233,233,131,B,ADLD,334001,2017-08-31,2017-08-25,2018-02-13,4580,2018-02-24
2907324,AN,21,110015,233,233,131,A,ADLD,302012,2017-03-07,2017-03-03,2018-02-26,4580,2018-03-06
2889057,AN,6,160059,233,233,131,B,ADLD,160047,2017-03-14,2017-03-09,2018-02-20,4673,2018-03-08
2933663,C,2,110018,308,233,228,A,ADLD,122003,2017-10-15,2017-07-01,2018-03-03,4091,2018-03-17
2973581,AN,22,400104,233,233,131,A,ADLD,400604,2016-09-01,2016-08-30,2018-03-13,4581,2018-03-21
3029501,AJ,27,110034,233,233,228,B,ADLD,342008,2017-05-19,2017-05-19,2018-03-28,4388,2018-04-06
2899996,AJ,3,560011,233,245,131,A,ADLD,560066,2018-01-24,2018-01-24,2018-02-23,4460,2018-02-26
2855179,C,2,110018,233,233,131,A,ADLD,110093,2017-11-29,2017-11-22,2018-02-09,4094,2018-02-14
3030476,AN,7,500004,233,233,131,B,ADLD,520002,2017-08-26,2017-07-08,2018-03-28,4403,2018-04-02
2938992,AN,21,110015,233,233,131,C,ADLD,141003,2017-10-12,2017-10-10,2018-03-04,4580,2018-03-11
3073790,AN,21,110015,233,233,131,A,ADLD,110062,2017-10-23,2017-10-16,2018-04-11,4580,2018-04-14
2900218,AN,21,110015,201,233,131,D,ADLD,124146,2017-03-04,2017-03-02,2018-02-23,4580,2018-02-27
2930437,AN,21,110015,233,233,131,B,ADLD,136038,2017-08-01,2017-07-29,2018-03-02,4580,2018-03-07
3023784,AJ,27,110034,233,233,228,A,ADLD,121005,2017-09-18,2017-07-19,2018-03-27,4388,2018-04-06
2860965,AJ,2,110018,233,233,228,B,ADLD,135003,2017-04-26,2016-11-27,2018-02-11,4388,2018-02-20
2928767,AN,21,110015,233,245,131,A,ADLD,110001,2017-03-27,2016-05-12,2018-03-01,4580,2018-03-10
2840328,C,2,110018,233,233,131,A,ADLD,110024,2017-04-04,2017-04-02,2018-02-05,4091,2018-02-16
2821067,AI,12,302006,233,233,131,B,ADLD,313001,2017-12-13,2017-12-13,2018-01-30,4407,2018-02-01
2850925,AJ,6,160059,233,233,228,C,ADLD,141001,2017-04-26,2016-12-28,2018-02-08,4437,2018-02-13
2867878,AN,17,800001,233,233,131,B,ADLD,848101,2018-01-10,2017-02-20,2018-02-14,4538,2018-02-19
3058072,AD,3,560011,233,245,228,A,ADLD,560079,2018-03-01,2017-07-23,2018-04-05,5146,2018-04-09
2824553,AJ,3,560011,233,233,228,A,ADLD,560076,2017-12-29,2017-12-28,2018-01-31,4667,2018-02-03
2969868,AN,21,110015,233,233,131,A,ADLD,110088,2016-04-29,2016-04-01,2018-03-11,4580,2018-03-14
2958112,AN,21,110015,233,233,131,A,ADLD,110009,2017-10-02,2017-09-28,2018-03-09,4580,2018-03-15
2873570,AJ,7,500004,233,233,228,A,ADLD,500003,2017-07-18,2017-06-30,2018-02-15,4474,2018-03-18
2975939,C,2,110018,233,233,131,A,ADLD,110051,2017-12-21,2017-12-21,2018-03-13,4550,2018-03-15
2953045,AN,22,400104,233,233,131,A,ADLD,411014,2017-05-08,2017-05-06,2018-03-07,4581,2018-03-13
3001266,AJ,6,160059,233,233,131,B,ADLD,125055,2017-09-26,2017-09-21,2018-03-20,4437,2018-03-23
3003981,AN,17,800001,233,233,131,C,ADLD,834004,2017-05-09,2017-05-06,2018-03-21,4538,2018-03-26
3060416,AN,22,400104,233,233,131,A,ADLD,400071,2017-09-08,2017-09-05,2018-04-06,4581,2018-04-11
3043846,C,2,110018,233,233,228,A,ADLD,121003,2018-03-08,2016-12-25,2018-03-31,4550,2018-04-07
3047010,AN,26,560066,233,233,131,A,ADLD,600125,2017-06-03,2017-05-23,2018-04-02,5001,2018-04-11
3007440,AN,22,400104,233,233,131,A,ADLD,411001,2017-07-17,2017-07-13,2018-03-22,4581,2018-04-09
2822700,AN,21,110015,233,233,131,C,ADLD,122050,2017-09-17,2017-09-09,2018-01-31,4580,2018-02-02
2822700,AA,21,110015,233,233,131,C,ADLD,122050,2017-09-17,2016-01-01,2018-01-31,4580,2018-02-02
2949641,AN,21,110015,201,233,131,0,ADLD,250341,2016-11-07,2016-11-04,2018-03-07,4580,2018-03-10
3012071,AA,7,500004,233,233,228,A,ADLD,500042,2018-03-07,2018-02-04,2018-03-23,4479,2018-03-27
3085603,AN,7,500004,233,233,131,A,ADLD,500038,2017-12-15,2017-12-13,2018-04-14,4403,2018-04-18
2836788,AN,21,110015,233,233,131,B,ADLD,140413,2017-03-01,2017-02-24,2018-02-03,4580,2018-02-06
3048394,AN,22,400104,233,233,131,B,ADLD,390002,2017-10-04,2017-09-30,2018-04-02,4581,2018-04-08
2944456,AN,4,600024,233,233,131,A,ADLD,600016,2017-04-13,2017-04-12,2018-03-06,4490,2018-03-08
3059906,AI,23,400001,233,233,131,B,ADLD,390001,2018-02-14,2018-02-14,2018-04-06,4398,2018-04-09
3047377,AN,26,560066,233,233,228,A,ADLD,560068,2018-03-12,2018-01-29,2018-04-02,5001,2018-04-12
3083483,AN,17,800001,233,233,131,A,ADLD,800013,2016-06-06,2016-06-02,2018-04-14,4410,2018-04-17
2854424,AN,22,400104,233,245,131,B,ADLD,363641,2016-10-18,2016-10-14,2018-02-09,4581,2018-02-19
2865597,AN,22,400104,233,233,131,B,ADLD,440016,2017-07-24,2017-07-22,2018-02-13,4581,2018-02-17
2919883,AN,7,500004,233,233,131,A,ADLD,500025,2017-06-15,2017-06-14,2018-02-27,4403,2018-03-03
2996026,Y,6,160059,233,233,131,C,ADLD,171006,2017-08-16,2015-09-12,2018-03-19,4441,2018-03-26
2996026,Y,6,160059,233,233,131,C,ADLD,171006,2017-08-16,2016-09-30,2018-03-19,4441,2018-03-26
2833279,AJ,8,700064,233,233,131,A,ADLD,700029,2017-07-07,2017-06-27,2018-02-02,4499,2018-02-05
2897790,C,2,110018,233,233,228,A,ADLD,122004,2018-01-22,2017-05-18,2018-02-22,4091,2018-02-26
3014467,AJ,17,800001,201,233,131,D,ADLD,845412,2017-09-14,2017-09-14,2018-03-24,4370,2018-03-28
3046243,AJ,23,400001,233,233,131,A,ADLD,400606,2017-05-10,2017-05-01,2018-04-02,4398,2018-04-06
2983287,AI,12,302006,233,233,131,B,ADLD,313001,2017-11-02,2017-11-01,2018-03-15,4407,2018-03-17
2822733,AD,2,110018,233,233,228,A,ADLD,122009,2017-11-19,2017-10-05,2018-01-31,4148,2018-02-05
2831678,AN,3,560011,233,233,131,A,ADLD,560041,2017-04-22,2017-04-19,2018-02-02,4467,2018-02-07
2841076,AN,21,110015,233,233,131,A,ADLD,302018,2016-12-27,2016-12-06,2018-02-05,4668,2018-02-08
2839341,AJ,5,380009,233,233,131,A,ADLD,380007,2017-12-12,2017-12-07,2018-02-05,4422,2018-02-10
2879653,AN,2,110018,233,233,131,A,ADLD,110012,2017-05-30,2017-05-29,2018-02-17,4147,2018-02-22
2854025,AJ,6,160059,233,233,131,C,ADLD,136026,2017-07-14,2017-07-13,2018-02-09,4437,2018-02-13
2928931,AJ,2,110018,233,233,131,A,ADLD,110034,2017-05-10,2017-05-10,2018-03-01,4388,2018-03-05
2928756,AN,8,700064,201,233,131,0,ADLD,757037,2017-03-11,2017-03-09,2018-03-01,4508,2018-03-06
2949050,AJ,7,500004,233,233,228,A,ADLD,500049,2018-02-09,2018-02-07,2018-03-07,4474,2018-03-13
2930141,AA,24,110092,233,233,228,A,ADLD,110044,2018-02-04,2018-02-03,2018-03-01,4150,2018-03-09
2951962,AJ,10,226010,233,233,228,B,ADLD,282006,2018-01-22,2017-09-17,2018-03-07,4425,2018-03-09
2941785,C,12,302006,233,233,228,A,ADLD,302018,2018-01-31,2017-10-06,2018-03-05,4453,2018-03-12
2953241,AJ,2,110018,233,233,228,A,ADLD,110096,2018-02-09,2016-10-28,2018-03-07,4388,2018-03-18
3000314,AJ,2,110018,233,233,228,A,ADLD,110034,2018-03-04,2017-07-21,2018-03-20,4388,2018-03-21
3035314,C,12,302006,233,233,131,A,ADLD,302025,2017-11-09,2017-11-08,2018-03-29,4453,2018-04-04
3039486,AN,8,700064,0,233,131,B,ADLD,734007,2017-07-03,2017-06-29,2018-03-30,4508,2018-04-03
3039486,AN,8,700064,233,233,131,B,ADLD,734007,2017-07-03,2017-06-29,2018-03-30,4508,2018-04-03
3079909,AJ,23,400001,233,233,131,C,ADLD,474005,2018-03-21,2018-01-25,2018-04-12,4398,2018-04-14
3063578,AJ,27,110034,0,233,131,A,ADLD,110088,2017-05-18,2017-05-17,2018-04-07,4388,2018-04-18
3063578,AJ,27,110034,233,233,131,A,ADLD,110088,2017-05-18,2017-05-17,2018-04-07,4388,2018-04-18
2990169,AJ,10,226010,233,233,131,B,ADLD,282007,2018-03-11,2018-03-08,2018-03-17,4425,2018-03-20
2897728,AB,1,400059,233,233,228,A,ADLD,500007,2018-01-18,2017-09-08,2018-02-22,4478,2018-02-23
2985794,AJ,6,160059,233,233,131,C,ADLD,141003,2017-12-24,2017-12-22,2018-03-15,4437,2018-03-20
2965604,Y,10,226010,233,233,131,B,ADLD,229001,2018-02-18,2017-12-15,2018-03-10,4393,2018-03-16
2950459,AN,7,500004,233,233,131,A,ADLD,500082,2017-06-15,2017-04-13,2018-03-07,4403,2018-03-13
2994724,AJ,23,400001,233,233,131,B,ADLD,440014,2017-12-15,2017-12-14,2018-03-19,4398,2018-03-23
3007626,AJ,23,400001,233,233,131,B,ADLD,422003,2017-04-01,2017-03-26,2018-03-22,4398,2018-03-30
2825840,AN,4,600024,233,233,228,A,ADLD,600014,2018-01-10,2017-12-30,2018-01-31,4490,2018-02-03
2891390,C,12,302006,233,233,131,B,ADLD,342001,2017-04-18,2017-04-14,2018-02-20,4453,2018-02-24
3013538,AN,21,110015,233,233,131,B,ADLD,313001,2018-01-19,2017-05-26,2018-03-24,4580,2018-03-27
2841088,AN,7,500004,233,233,131,A,ADLD,500072,2017-06-03,2017-06-02,2018-02-05,4403,2018-02-09
2900538,S,7,500004,233,233,228,A,ADLD,500072,2018-01-23,2017-09-08,2018-02-23,4479,2018-02-26
3045160,AE,17,800001,233,233,131,A,ADLD,800020,2017-07-17,2017-07-03,2018-04-01,4370,2018-04-04
3045160,AJ,17,800001,233,233,131,A,ADLD,800020,2017-07-17,2017-07-14,2018-04-01,4370,2018-04-04
3089818,AN,7,500004,233,233,131,A,ADLD,500072,2017-04-19,2017-04-18,2018-04-17,4403,2018-04-19
2832781,AJ,9,411016,233,233,131,A,ADLD,411028,2017-04-18,2018-03-26,2018-02-02,4021,2018-02-06
2847689,S,2,110018,233,233,228,A,ADLD,110029,2017-05-19,2017-06-16,2018-02-07,4150,2018-02-12
2842951,AN,7,500004,233,233,131,A,ADLD,500037,2016-07-23,2016-07-23,2018-02-06,4403,2018-02-13
2862975,AN,7,500004,233,233,131,C,ADLD,505001,2017-05-29,2017-05-26,2018-02-12,4403,2018-02-17
2833133,AN,22,400104,233,233,131,C,ADLD,363351,2017-06-24,2017-06-22,2018-02-02,4581,2018-02-07
2885025,AA,7,500004,233,233,131,B,ADLD,520013,2017-12-26,2017-12-26,2018-02-19,4479,2018-02-23
2922494,AN,22,400104,233,233,131,A,ADLD,400013,2017-07-23,2017-07-20,2018-02-28,4581,2018-03-04
2906583,AN,22,400104,233,233,131,C,ADLD,425201,2017-12-01,2017-11-30,2018-02-25,4581,2018-03-01
2898052,AJ,2,110018,233,233,228,A,ADLD,110025,2018-02-20,2018-02-15,2018-02-22,4388,2018-03-08
2941800,AN,26,560066,233,233,131,0,ADLD,0,2017-04-08,2017-04-02,2018-03-05,5001,2018-03-22
2897824,C,6,160059,233,233,131,B,ADLD,134109,2017-09-29,2017-09-29,2018-02-22,4549,2018-03-18
3015248,C,2,110018,233,233,228,A,ADLD,110090,2017-08-13,2016-10-30,2018-03-24,4550,2018-03-26
3041559,AJ,23,400001,233,233,131,A,ADLD,411014,2017-12-23,2017-12-23,2018-03-31,4398,2018-04-03
3045753,AN,22,400104,233,233,131,A,ADLD,400607,2017-06-26,2016-08-23,2018-04-02,4581,2018-04-06
3065592,AJ,27,110034,233,233,228,A,ADLD,201304,2018-02-12,2017-05-05,2018-04-08,4388,2018-04-09
3016942,AJ,27,110034,233,245,228,A,ADLD,110018,2018-01-30,2018-01-29,2018-03-25,4388,2018-04-10
2861733,AN,8,700064,233,233,131,A,ADLD,700034,2017-03-14,2017-03-10,2018-02-12,4508,2018-02-21
3067719,C,6,160059,233,233,228,B,ADLD,147001,2018-03-04,2018-03-04,2018-04-09,4549,2018-04-11
2970742,AJ,2,110018,233,233,131,C,ADLD,263153,2017-08-05,2017-07-31,2018-03-12,4388,2018-03-13
3082608,AJ,23,400001,233,233,131,A,ADLD,400092,2017-05-02,2017-05-02,2018-04-13,4398,2018-04-19
2939051,C,2,110018,233,233,228,B,ADLD,181152,2017-07-05,2017-03-15,2018-03-04,4550,2018-03-08
2974278,AI,6,160059,233,233,131,C,ADLD,141010,2017-10-21,2017-10-20,2018-03-13,4437,2018-03-17
3021778,AJ,23,400001,308,233,131,A,ADLD,400610,2017-05-09,2016-06-13,2018-03-26,4398,2018-04-05
2858256,AN,6,160059,233,233,131,B,ADLD,160101,2018-01-15,2016-05-20,2018-02-10,4673,2018-02-13
2908406,C,2,110018,233,233,131,B,ADLD,132103,2017-03-21,2017-03-15,2018-02-26,4094,2018-03-06
3040724,AN,26,560066,233,233,228,A,ADLD,560008,2017-06-05,2017-05-08,2018-03-31,5001,2018-04-10
2938657,AJ,7,500004,233,0,228,A,ADLD,500072,2017-05-14,2017-05-13,2018-03-04,4474,2018-03-09
2954193,C,2,110018,233,233,131,A,ADLD,122001,2018-01-24,2016-10-07,2018-03-08,4550,2018-03-11
2819316,AJ,3,560011,233,233,228,A,ADLD,560001,2017-08-16,2015-12-11,2018-01-30,4460,2018-02-06
2861404,AI,8,700064,233,233,131,A,ADLD,700157,2017-11-21,2017-11-21,2018-02-11,4499,2018-02-14
2862698,AN,22,400104,233,233,131,A,ADLD,400607,2017-06-30,2017-06-28,2018-02-12,4581,2018-02-16
2886093,AJ,1,400059,233,233,228,A,ADLD,400604,2018-01-07,2017-08-02,2018-02-19,4398,2018-02-24
2874172,AJ,2,110018,233,233,131,A,ADLD,110092,2018-01-13,2017-10-17,2018-02-15,4388,2018-02-19
2901210,AN,2,110018,233,233,131,A,ADLD,110009,2017-06-13,2017-06-12,2018-02-23,4147,2018-02-27
2941044,S,24,110092,233,233,131,A,ADLD,400055,2017-08-22,2017-08-18,2018-03-05,4150,2018-03-10
2971642,AJ,12,302006,233,233,131,A,ADLD,302029,2018-01-10,2018-01-10,2018-03-12,4407,2018-03-15
2953269,AN,22,400104,233,233,131,B,ADLD,452003,2018-02-03,2017-12-03,2018-03-07,4581,2018-03-13
2884506,AJ,2,110018,233,233,131,A,ADLD,110088,2017-05-10,2016-11-01,2018-02-19,4388,2018-03-13
2982503,AA,24,110092,233,233,228,B,ADLD,144001,2017-07-31,2017-06-13,2018-03-15,4150,2018-03-17
2977410,AI,9,411016,233,233,131,C,ADLD,496001,2017-10-04,2017-10-03,2018-03-13,4021,2018-03-17
2987358,AI,7,500004,233,233,131,A,ADLD,500060,2017-11-20,2017-11-20,2018-03-16,4474,2018-03-26
3001322,AN,7,500004,233,233,131,B,ADLD,530004,2017-10-17,2017-10-16,2018-03-20,4403,2018-04-01
3012946,AJ,27,110034,0,233,131,0,ADLD,247663,2018-03-07,2017-07-31,2018-03-24,4388,2018-03-28
3012946,AJ,27,110034,201,233,131,0,ADLD,247663,2018-03-07,2017-07-31,2018-03-24,4388,2018-03-28
3033841,AN,22,400104,233,233,131,B,ADLD,403707,2018-01-02,2017-12-29,2018-03-29,4581,2018-04-03
3047008,AN,21,110015,201,233,131,0,ADLD,250619,2017-11-24,2017-11-14,2018-04-02,4580,2018-04-10
2975719,C,6,160059,233,233,131,B,ADLD,140413,2016-12-15,2016-12-14,2018-03-13,4549,2018-03-15
2859658,AN,22,400104,233,233,131,B,ADLD,390012,2017-07-17,2017-07-14,2018-02-10,4581,2018-02-13
2885491,AN,22,400104,233,233,131,A,ADLD,380051,2016-08-18,2016-08-16,2018-02-19,4581,2018-03-06
2972179,AN,22,400104,233,233,131,A,ADLD,411038,2017-05-29,2017-05-27,2018-03-12,4581,2018-03-25
3036970,C,3,560011,233,245,228,A,ADLD,560029,2017-07-27,2016-07-24,2018-03-29,4469,2018-04-03
2827007,C,3,560011,233,233,228,A,ADLD,560037,2017-12-16,2016-04-02,2018-02-01,4461,2018-02-05
2984011,C,7,500004,233,233,228,A,ADLD,500008,2017-10-23,2017-10-22,2018-03-15,4477,2018-03-18
3055830,AN,8,700064,233,233,131,B,ADLD,711302,2017-07-25,2017-07-23,2018-04-05,4508,2018-04-11
2819033,AD,2,110018,233,233,131,A,ADLD,201301,2017-02-07,2017-01-29,2018-01-30,4148,2018-02-01
2819124,AN,2,110018,233,233,131,0,ADLD,0,2017-09-12,2017-08-26,2018-01-30,4388,2018-02-01
2819124,AJ,2,110018,233,233,131,0,ADLD,0,2017-09-12,2016-07-24,2018-01-30,4388,2018-02-01
2859298,AI,5,380009,233,233,131,B,ADLD,394220,2017-10-05,2017-10-04,2018-02-10,4422,2018-02-17
2920942,AJ,2,110018,233,233,228,B,ADLD,248001,2018-01-31,2017-05-14,2018-02-27,4388,2018-03-04
2953901,AN,7,500004,233,233,131,A,ADLD,500075,2017-07-10,2017-07-07,2018-03-08,4403,2018-03-12
2904675,AI,12,302006,233,233,131,A,ADLD,302021,2017-10-16,2017-10-15,2018-02-24,4407,2018-03-10
2939538,C,5,380009,233,233,131,B,ADLD,395001,2017-12-05,2017-11-23,2018-03-05,4546,2018-03-14
2972359,AI,8,700064,233,233,131,B,ADLD,700124,2017-11-14,2017-11-13,2018-03-12,4499,2018-03-14
2960154,AN,22,400104,233,233,131,A,ADLD,411014,2017-10-10,2017-10-04,2018-03-09,4581,2018-03-12
2970928,C,7,500004,233,233,228,B,ADLD,530022,2018-02-12,2017-06-12,2018-03-12,4477,2018-03-15
2940240,C,6,160059,233,233,131,B,ADLD,140603,2017-05-25,2017-05-19,2018-03-05,4549,2018-03-28
3009285,AD,1,400059,308,233,131,A,ADLD,400071,2017-09-25,2017-10-09,2018-03-22,4011,2018-04-02
2981636,AN,21,110015,233,233,131,B,ADLD,251001,2017-06-24,2017-06-23,2018-03-15,4580,2018-03-31
2938081,AN,26,560066,233,233,131,A,ADLD,600037,2017-06-14,2017-05-23,2018-03-03,5001,2018-03-31
3009470,C,6,160059,233,233,228,C,ADLD,144415,2017-12-08,2016-12-11,2018-03-23,4549,2018-03-29
3031799,G,1,400059,233,233,131,A,ADLD,411044,2017-07-07,2017-07-07,2018-03-28,4011,2018-04-03
3037986,C,3,560011,233,233,228,A,ADLD,560093,2018-01-27,2016-10-12,2018-03-30,4469,2018-04-09
3082206,AN,26,560066,233,233,131,A,ADLD,603103,2017-05-30,2017-05-29,2018-04-13,5001,2018-04-18
